Year,Category,Metric,Forecast,Uncertainty (±),CV (%),R²,MAPE (%),Uncertainty (%),Reliability
2029,Work Permits,Ukraine Emergency Law,1290,83,90.3,0.947,2.9,6.4,High Reliability
2029,Work Permits,Work permit 3rd country,2339,52,18.7,0.982,2.0,2.2,High Reliability
2029,Work Permits,Work permit EU,5979,272,9.8,0.873,3.2,4.5,Good Reliability
2030,Foreign Population,Foreign citizens 20-64 years,41486,768,8.6,0.97,1.2,1.9,High Reliability
2030,Foreign Workers,Full time EU workers,6257,304,9.8,0.873,3.2,4.9,Good Reliability
2030,Foreign Workers,Full time third country workers,2510,58,18.7,0.982,2.0,2.3,High Reliability
2030,Foreign Workers,Total workers,8768,319,11.7,0.937,2.6,3.6,High Reliability
2030,Migration,Emigration foreign citizens 20-64 years,8108,402,21.9,0.918,5.1,5.0,High Reliability
2030,Migration,Immigration foreign citizens 20-64 years,9314,1187,18.5,0.504,11.4,12.7,Moderate Reliability
2030,Migration,Net migration,1206,603,39.5,0.008,32.6,50.0,Low Reliability
2030,Work Permits,Family reunification,1386,119,8.4,0.553,5.2,8.6,Moderate Reliability
2030,Work Permits,Permanent residency,6321,174,16.1,0.978,2.2,2.8,High Reliability
2030,Work Permits,Study permit,769,55,29.9,0.919,8.2,7.2,High Reliability
2030,Work Permits,Ukraine Emergency Law,1460,92,90.3,0.947,2.9,6.3,High Reliability
2030,Work Permits,Work permit 3rd country,2510,58,18.7,0.982,2.0,2.3,High Reliability
2030,Work Permits,Work permit EU,6257,304,9.8,0.873,3.2,4.9,Good Reliability
