ConstantID,ConstantName,Value,DisplayValue,Category,GeographicScope,Source,Description,LastUpdated,Reliability,Notes
cph_unemployed_partner_two_year_%,Percentage of foreign workers with unemployed accompanying partners who are retained after two years,0.75,75%,Migration,Copenhagen,N�gletalskatalog om international arbejdskraft (KK),How many of the cohort with unemployed accompanying partners from 2017 were still in Denmark in 2019 (CPH),01/05/25,High,Read from a printed graph
cph_unemployed_partner_three_year_%,Percentage of foreign workers with unemployed accompanying partners who are retained after years,0.63,63%,Migration,Copenhagen,N�gletalskatalog om international arbejdskraft (KK),How many of the cohort with unemployed accompanying partners from 2017 were still in Denmark in 2020 (CPH),01/05/25,High,"Potentially affected by corona, Read from a printed graph"
cph_unemployed_partner_four_year_%,Percentage of foreign workers with unemployed accompanying partners who are retained after four years,0.56,56%,Migration,Copenhagen,N�gletalskatalog om international arbejdskraft (KK),How many of the cohort with unemployed accompanying partners from 2017 were still in Denmark in 2021 (CPH),01/05/25,High,"Potentially affected by corona, Read from a printed graph"
cph_unemployed_partner_five_year_%,Percentage of foreign workers with unemployed accompanying partners who are retained after five years,0.49,49%,Migration,Copenhagen,N�gletalskatalog om international arbejdskraft (KK),How many of the cohort with unemployed accompanying partners from2017 were still in Denmark in 2022 (CPH),01/05/25,High,
cph_employed_partner_one_year_%,Percentage of foreign workers with employed accompanying partners who are retained after one year,0.91,91%,Migration,Copenhagen,N�gletalskatalog om international arbejdskraft (KK),How many of the cohort with unemployed accompanying partners from 2017 were still in Denmark in 2018 (CPH),01/05/25,High,Read from a printed graph
cph_employed_partner_two_year_%,Percentage of foreign workers with employed accompanying partners partners who are retained after two years,0.8,80%,Migration,Copenhagen,N�gletalskatalog om international arbejdskraft (KK),How many of the cohort with unemployed accompanying partners from 2017 were still in Denmark in 2019 (CPH),01/05/25,High,Read from a printed graph
cph_employed_partner_three_year_%,Percentage of foreign workers with employed accompanying partners partners who are retained after years,0.75,75%,Migration,Copenhagen,N�gletalskatalog om international arbejdskraft (KK),How many of the cohort with unemployed accompanying partners from 2017 were still in Denmark in 2020 (CPH),01/05/25,High,"Potentially affected by corona, Read from a printed graph"
cph_employed_partner_four_year_%,Percentage of foreign workers with employed accompanying partners partners who are retained after four years,0.66,65%,Migration,Copenhagen,N�gletalskatalog om international arbejdskraft (KK),How many of the cohort with unemployed accompanying partners from 2017 were still in Denmark in 2021 (CPH),01/05/25,High,"Potentially affected by corona, Read from a printed graph"
cph_employed_partner_five_year_%,Percentage of foreign workers with employed accompanying partners partners who are retained after five years,0.61,61%,Migration,Copenhagen,N�gletalskatalog om international arbejdskraft (KK),How many of the cohort with unemployed accompanying partners from2017 were still in Denmark in 2022 (CPH),01/05/25,High,
accompanying_children,Percentage of immigrants that bring a child with them,0.14,14%,Migration,Not including Copenhagen,N�gletalskatalog om international arbejdskraft (KK),The percentage of new immigrant workers who bring a child with them in 2022 (National),01/05/25,High,
private_school,Percentage of new immigrants that choose private schools,0.28,28%,Migration,Copenhagen,N�gletalskatalog om international arbejdskraft (KK),The percentage of new immigrant workers who chose a private school in 2022 (CPH),01/05/2025,High,
school_age,Percentage of international children of school age,0.52,52%,Migration,Copenhagen,N�gletalskatalog om international arbejdskraft (KK),The percentage of  international children that are school age (CPH),01/05/2025,High,
international_children,Percentage of international families with children,0.4,40%,Migration,Copenhagen,N�gletalskatalog om international arbejdskraft (KK),The percentage of  international children not just of newcomers (CPH),01/05/2025,High,
children_per_family,Of the families with children how many children,1.6,160%,Migration,Copenhagen,N�gletalskatalog om international arbejdskraft (KK),The number of children per family (CPH),01/05/2025,Low,Inferred from other numbers on numbers of children and numbers of immigrants
